Block,Question,Cohort,BestEstimate_Mean,BestEstimate_Std,Range_All_Mean,Range_All_Std,Range_Correct_Mean,Range_Correct_Std,Cond1_Increased_Count,Cond1_Increased_Perc,Cond1_Decreased_Count,Cond1_Decreased_Perc,Cond1_The_Same_Count,Cond1_The_Same_Perc,Distance_All_Mean,Distance_All_Std,Distance_Correct_Mean,Distance_Correct_Std,AnsInRange_All_Count,AnsInRange_All_Perc,AnsInRange_Correct_Count,AnsInRange_Correct_Perc,readCPT_count,readCPT_perc,Cond2_Count,Cond2_Perc,Cond3_Count,Cond3_Perc
CC,4,large,24.4,19.3,28.97,24.97,16.13,18.52,8,27.59,15,51.72,6,20.69,13.58,13.7,10.6,4.81,11,37.93,5,17.24,0,0.0,0,0.0,0,0.0
CC,5,small,38.6,18.7,34.56,27.71,39.24,27.26,17,62.96,1,3.7,9,33.33,32.15,17.33,22.41,14.61,14,51.85,10,37.04,3,11.11,0,0.0,0,0.0
CC,5,medium,30.1,15.5,35.68,20.33,34.8,19.48,14,46.67,10,33.33,6,20.0,23.45,13.0,11.39,6.62,15,50.0,8,26.67,0,0.0,0,0.0,0,0.0
CC,5,large,27.7,16.6,25.14,20.11,27.64,20.04,14,48.28,10,34.48,5,17.24,14.93,9.73,10.43,9.35,14,48.28,10,34.48,0,0.0,0,0.0,0,0.0
CC,6,small,69.2,15.8,31.04,25.6,31.5,29.6,6,22.22,5,18.52,16,59.26,7.11,14.07,0.0,0.0,26,96.3,16,59.26,0,0.0,4,14.81,0,0.0
CC,6,medium,46.4,12.1,27.07,25.23,21.87,27.66,3,10.0,12,40.0,15,50.0,6.87,11.43,0.0,0.0,30,100.0,15,50.0,0,0.0,2,6.67,0,0.0
CC,6,large,30.7,13.7,19.58,25.05,15.47,25.84,9,31.03,10,34.48,10,34.48,8.99,10.97,0.0,0.0,21,72.41,10,34.48,0,0.0,1,3.45,0,0.0
CC,7,small,51.2,15.3,23.8,23.75,18.01,11.81,14,51.85,5,18.52,8,29.63,21.76,10.41,14.64,9.68,12,44.44,7,25.93,3,11.11,5,18.52,0,0.0
CC,7,medium,32.6,14.2,33.13,23.45,28.54,21.96,13,43.33,6,20.0,11,36.67,21.5,10.71,12.85,8.8,16,53.33,7,23.33,0,0.0,4,13.33,0,0.0
CC,7,large,30.8,14.4,22.94,21.8,19.27,21.2,15,51.72,8,27.59,6,20.69,11.01,9.95,8.28,11.93,15,51.72,10,34.48,0,0.0,5,17.24,0,0.0
CE,1,small,24.9,14.5,29.3,33.87,40.67,41.14,9,33.33,3,11.11,15,55.56,6.26,14.0,0.0,0.0,23,85.19,15,55.56,0,0.0,0,0.0,0,0.0
CE,1,medium,25.6,15.6,31.16,27.85,37.67,32.34,11,36.67,4,13.33,15,50.0,8.2,14.34,0.0,0.0,25,83.33,15,50.0,0,0.0,0,0.0,0,0.0
CE,1,large,22.4,15.9,20.9,23.58,13.0,18.89,10,34.48,9,31.03,10,34.48,10.31,12.16,0.0,0.0,23,79.31,10,34.48,0,0.0,0,0.0,0,0.0
CE,2,small,51.5,25.5,35.11,30.67,30.93,22.16,14,51.85,4,14.81,9,33.33,36.81,25.05,16.79,18.33,12,44.44,7,25.93,0,0.0,0,0.0,0,0.0
CE,2,medium,41.5,18.8,39.22,27.79,32.25,26.7,12,40.0,7,23.33,11,36.67,26.17,14.67,13.29,9.09,13,43.33,6,20.0,0,0.0,0,0.0,0,0.0
CE,2,large,47.2,15.9,26.43,25.67,17.03,18.51,16,55.17,8,27.59,5,17.24,12.0,12.58,6.31,7.35,13,44.83,9,31.03,0,0.0,0,0.0,0,0.0
CE,3,small,42.1,17.7,41.44,31.23,45.38,25.64,13,48.15,4,14.81,10,37.04,12.37,14.95,21.31,17.36,22,81.48,13,48.15,0,0.0,0,0.0,14,51.85
CE,3,medium,37.3,10.5,39.54,25.29,20.78,21.51,9,30.0,11,36.67,10,33.33,7.27,7.48,11.0,9.79,23,76.67,7,23.33,0,0.0,0,0.0,14,46.67
CE,3,large,48.4,15.4,22.3,23.18,17.98,19.52,15,51.72,9,31.03,5,17.24,10.04,11.68,11.6,11.57,14,48.28,8,27.59,0,0.0,0,0.0,10,34.48
CE,4,small,53.4,25.3,35.41,32.99,24.62,26.41,16,59.26,3,11.11,8,29.63,36.96,24.7,22.25,21.81,15,55.56,9,33.33,0,0.0,0,0.0,7,25.93
CE,4,medium,46.4,17.8,40.25,25.87,35.79,23.42,14,46.67,5,16.67,11,36.67,23.28,12.41,12.86,7.37,14,46.67,7,23.33,0,0.0,0,0.0,8,26.67
CE,4,large,48.9,11.0,27.48,26.0,22.5,21.07,16,55.17,7,24.14,6,20.69,9.12,8.4,5.29,4.43,16,55.17,10,34.48,0,0.0,0,0.0,8,27.59
CE,5,small,26.5,23.7,23.67,27.45,15.62,19.62,6,22.22,13,48.15,8,29.63,22.99,23.72,9.62,4.32,3,11.11,2,7.41,0,0.0,0,0.0,0,0.0
CE,5,medium,24.2,17.4,35.4,25.0,16.82,14.95,7,23.33,11,36.67,12,40.0,13.89,16.69,3.61,1.94,15,50.0,9,30.0,0,0.0,0,0.0,0,0.0
CE,5,large,21.9,13.3,22.07,21.31,11.08,5.98,8,27.59,12,41.38,9,31.03,8.69,11.18,4.7,3.59,13,44.83,9,31.03,0,0.0,0,0.0,0,0.0
CE,6,small,38.1,28.7,31.3,30.98,33.91,29.96,11,40.74,5,18.52,11,40.74,31.37,9.75,22.73,9.02,11,40.74,6,22.22,0,0.0,0,0.0,0,0.0
CE,6,medium,28.1,16.7,35.47,23.4,32.38,20.83,13,43.33,4,13.33,13,43.33,15.26,9.39,13.16,13.7,18,60.0,7,23.33,0,0.0,0,0.0,0,0.0
CE,6,large,27.4,13.8,21.86,22.0,26.69,22.93,16,55.17,3,10.34,10,34.48,9.17,10.88,12.07,13.71,17,58.62,12,41.38,0,0.0,0,0.0,0,0.0
CE,7,small,55.7,18.4,39.44,28.4,30.45,20.43,11,40.74,9,33.33,7,25.93,17.01,12.87,9.94,5.72,19,70.37,9,33.33,0,0.0,0,0.0,0,0.0
CE,7,medium,36.8,12.8,37.02,26.62,49.81,26.03,7,23.33,8,26.67,15,50.0,7.82,10.07,16.41,14.5,19,63.33,7,23.33,0,0.0,0,0.0,0,0.0
CE,7,large,28.2,12.5,19.94,24.55,22.05,24.82,16,55.17,5,17.24,8,27.59,8.24,10.36,11.52,11.93,14,48.28,10,34.48,0,0.0,0,0.0,0,0.0
