Block,Question,Small - Medium,Medium - Large,Small - Large
chain,4,0.17554744858249915,0.005618393214571844,0.00015062185514498592
CC,6,0.32117183736952637,0.5769991622487407,0.13963927865071835
CC,7,0.5951947113190872,0.6789950805371905,0.9016538316224028
all,small - large,0.9624233681065093,0.044163384426203024,0.05707062133226186
