Block,Question,ReadCPT - Directionality
chain,1,0.022142307981408992
chain,3,0.00453930481714057
chain,4,0.006073351621539044
CC,4,0.018177645172383086
CC,5,9.286611247549821e-05
CC,7,0.0014078008070466954
chain,all,6.56287109617302e-06
CC,all,3.6080194236489506e-08
